qid,dataset,text,dimension_model,dimensions,scores,delta
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,Llama-4,"['Emotional', 'Spiritual', 'Intellectual', 'Social']","[0.1995989829301834, 0.18018002808094025, 0.16907495260238647, 0.10150796920061111]",0.1
CD_RISC_2,CD-RISC,I have one close and secure relationship.,Llama-4,"['Financial', 'Social']","[0.361101895570755, 0.34001266956329346]",0.1
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,Llama-4,"['Spiritual', 'Emotional']","[0.38131383061408997, 0.30266785621643066]",0.1
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,Llama-4,"['Financial', 'Emotional', 'Social', 'Environmental', 'Spiritual', 'Intellectual', 'Physical']","[0.22348552942276, 0.22175899147987366, 0.20180970430374146, 0.18787486851215363, 0.1853588968515396, 0.16705726087093353, 0.13443714380264282]",0.1
CD_RISC_5,CD-RISC,Past successes give me confidence.,Llama-4,"['Financial', 'Emotional', 'Occupational', 'Intellectual', 'Physical', 'Social', 'Spiritual']","[0.1757482886314392, 0.1593998372554779, 0.1570024937391281, 0.15633037686347961, 0.10780912637710571, 0.106218121945858, 0.07957269996404648]",0.1
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,Llama-4,"['Emotional', 'Intellectual', 'Social', 'Financial', 'Occupational']","[0.2167554348707199, 0.18648585677146912, 0.13809312880039215, 0.13432928919792175, 0.12768638134002686]",0.1
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,Llama-4,['Emotional'],[0.4113124907016754],0.1
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",Llama-4,"['Physical', 'Emotional']","[0.2871539890766144, 0.2707814872264862]",0.1
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,Llama-4,"['Spiritual', 'Emotional']","[0.24306972324848175, 0.1744810789823532]",0.1
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",Llama-4,"['Intellectual', 'Occupational', 'Physical', 'Spiritual', 'Emotional']","[0.2510225474834442, 0.219404935836792, 0.2145041823387146, 0.18640752136707306, 0.18159791827201843]",0.1
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",Llama-4,"['Spiritual', 'Occupational', 'Emotional', 'Intellectual', 'Physical', 'Financial']","[0.29566994309425354, 0.2854576110839844, 0.2779181897640228, 0.26930513978004456, 0.23052476346492767, 0.22653402388095856]",0.1
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",Llama-4,"['Emotional', 'Financial']","[0.2724461853504181, 0.2042136937379837]",0.1
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",Llama-4,['Emotional'],[0.3473590612411499],0.1
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",Llama-4,"['Intellectual', 'Emotional', 'Spiritual']","[0.27013513445854187, 0.21421772241592407, 0.2100406140089035]",0.1
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,Llama-4,['Intellectual'],[0.3979479968547821],0.1
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,Llama-4,"['Emotional', 'Intellectual']","[0.27343153953552246, 0.2357025146484375]",0.1
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,Llama-4,"['Emotional', 'Spiritual']","[0.5358250737190247, 0.4473832845687866]",0.1
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,Llama-4,"['Financial', 'Emotional', 'Intellectual', 'Social', 'Spiritual', 'Environmental']","[0.19070954620838165, 0.16692490875720978, 0.16138191521167755, 0.1449572741985321, 0.09974589198827744, 0.09619912505149841]",0.1
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",Llama-4,['Emotional'],[0.5301554203033447],0.1
CD_RISC_20,CD-RISC,I have to act on a hunch.,Llama-4,"['Intellectual', 'Occupational', 'Physical', 'Environmental', 'Social', 'Emotional', 'Spiritual']","[0.12755675613880157, 0.12154428660869598, 0.08664131164550781, 0.0813540667295456, 0.07136858254671097, 0.057119764387607574, 0.0346798449754715]",0.1
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,Llama-4,"['Occupational', 'Spiritual', 'Intellectual']","[0.4570368826389313, 0.456717848777771, 0.38998058438301086]",0.1
CD_RISC_22,CD-RISC,I feel like I am in control.,Llama-4,"['Emotional', 'Spiritual', 'Intellectual', 'Social', 'Financial']","[0.16678526997566223, 0.10571899265050888, 0.08682388067245483, 0.08182629942893982, 0.0801076889038086]",0.1
CD_RISC_23,CD-RISC,I like challenges.,Llama-4,"['Emotional', 'Spiritual', 'Intellectual', 'Social', 'Physical', 'Environmental', 'Occupational']","[0.18788482248783112, 0.1596839725971222, 0.15023265779018402, 0.11575133353471756, 0.10073363035917282, 0.09459977596998215, 0.09146448224782944]",0.1
CD_RISC_24,CD-RISC,I work to attain goals.,Llama-4,['Occupational'],[0.48982328176498413],0.1
CD_RISC_25,CD-RISC,I take pride in my achievements.,Llama-4,"['Intellectual', 'Occupational', 'Emotional']","[0.29610177874565125, 0.2612949311733246, 0.23776228725910187]",0.1
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,Llama-4,"['Occupational', 'Intellectual', 'Physical']","[0.2847771942615509, 0.2719663083553314, 0.20077349245548248]",0.1
